Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	NA	NA
ASV_2	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	NA
ASV_3	Bacteria	Cyanobacteria	Chloroplast	NA	NA	NA	NA
ASV_4	Bacteria	Cyanobacteria	Chloroplast	NA	NA	NA	NA
ASV_5	Bacteria	Cyanobacteria	Chloroplast	NA	NA	NA	NA
ASV_6	Bacteria	Cyanobacteria	Chloroplast	NA	NA	NA	NA
ASV_7	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	NA
ASV_8	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	NA
ASV_9	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_10	Bacteria	Cyanobacteria	Chloroplast	NA	NA	NA	NA
ASV_11	Bacteria	Cyanobacteria	Chloroplast	NA	NA	NA	NA
ASV_12	Bacteria	Cyanobacteria	Chloroplast	NA	NA	NA	NA
ASV_13	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	NA
ASV_14	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
ASV_15	Bacteria	Cyanobacteria	Chloroplast	NA	NA	NA	NA
ASV_16	Bacteria	Cyanobacteria	Chloroplast	NA	NA	NA	NA
ASV_17	Bacteria	Cyanobacteria	Chloroplast	NA	NA	NA	NA
ASV_18	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	NA
ASV_19	Bacteria	Cyanobacteria	Chloroplast	NA	NA	NA	NA
ASV_20	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_21	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	NA
ASV_22	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	NA
ASV_23	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	NA
ASV_24	Bacteria	Cyanobacteria	Chloroplast	NA	NA	NA	NA
ASV_25	Bacteria	Cyanobacteria	Chloroplast	NA	NA	NA	NA
ASV_26	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
ASV_27	Bacteria	Cyanobacteria	Chloroplast	NA	NA	NA	NA
ASV_28	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_29	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae_RC9_gut_group	NA
ASV_30	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	NA
ASV_31	Bacteria	Cyanobacteria	Chloroplast	NA	NA	NA	NA
ASV_32	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	NA
ASV_33	Bacteria	Tenericutes	Mollicutes	Mollicutes_RF9	NA	NA	NA
ASV_34	Bacteria	Bacteroidetes	NA	NA	NA	NA	NA
ASV_35	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_36	Bacteria	Cyanobacteria	Chloroplast	NA	NA	NA	NA
ASV_37	Bacteria	Cyanobacteria	Chloroplast	NA	NA	NA	NA
ASV_38	Bacteria	Cyanobacteria	Chloroplast	NA	NA	NA	NA
ASV_39	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	NA
ASV_40	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	NA
ASV_41	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	NA
ASV_42	Bacteria	Bacteroidetes	NA	NA	NA	NA	NA
ASV_43	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	NA
ASV_44	Bacteria	Cyanobacteria	Chloroplast	NA	NA	NA	NA
ASV_45	Bacteria	Cyanobacteria	Chloroplast	NA	NA	NA	NA
ASV_46	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	NA
ASV_47	Bacteria	Cyanobacteria	Chloroplast	NA	NA	NA	NA
ASV_48	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	NA	NA
ASV_49	Bacteria	Cyanobacteria	Chloroplast	NA	NA	NA	NA
ASV_50	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	NA
ASV_51	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Parasutterella	NA
