input	filtered	denoised	merged	tabled	nonchim
GSF856-Dugas-100-1191-USA	118463	53854	52304	0	0	0
GSF856-Dugas-101-QH2O	135687	29101	28980	421	421	421
GSF856-Dugas-10-3050-Ghana	110188	51819	48688	2	2	2
GSF856-Dugas-11-3061-Ghana	123699	58406	56378	4	4	4
GSF856-Dugas-12-3093-Ghana	129788	60486	58575	2	2	2
GSF856-Dugas-1-3038-Ghana	116591	53017	51314	4	4	4
GSF856-Dugas-13-1361-USA	105376	49470	46680	0	0	0
GSF856-Dugas-14-1347-USA	113341	54000	51416	547	547	503
GSF856-Dugas-15-1344-USA	98318	45457	41789	0	0	0
GSF856-Dugas-16-1339-USA	104554	47876	44452	2	2	2
GSF856-Dugas-17-1335-USA	65778	21459	20102	15	15	15
GSF856-Dugas-18-1327-USA	116095	53982	51073	2	2	2
GSF856-Dugas-19-1302-USA	102239	47843	46775	3	3	3
GSF856-Dugas-20-1431-USA	90803	42446	41455	27	27	26
GSF856-Dugas-21-1430-USA	108398	50594	49184	0	0	0
GSF856-Dugas-22-1420-USA	105515	48249	45569	0	0	0
GSF856-Dugas-2-3045-Ghana	116838	53109	49873	10	10	10
GSF856-Dugas-23-1393-USA	106549	50016	47999	6	6	6
GSF856-Dugas-24-1368-USA	133184	62099	59726	0	0	0
GSF856-Dugas-25-1380-USA	95922	45258	42266	0	0	0
GSF856-Dugas-26-3020-Ghana	109498	50569	47083	2	2	2
GSF856-Dugas-27-3039-Ghana	115249	52272	49932	198	198	191
GSF856-Dugas-28-3055-Ghana	90803	41142	35977	12	12	12
GSF856-Dugas-29-3082-Ghana	121544	55622	50528	0	0	0
GSF856-Dugas-30-3094-Ghana	133000	62671	60394	59	59	58
GSF856-Dugas-31-3098-Ghana	121720	57645	52807	8	8	8
GSF856-Dugas-3-1501-Ghana	99301	47232	45720	0	0	0
GSF856-Dugas-32-3108-Ghana	122047	58109	56040	2	2	2
GSF856-Dugas-33-3112-Ghana	108159	49611	47230	6	6	6
GSF856-Dugas-34-3115-Ghana	131800	60238	55413	7	7	7
GSF856-Dugas-35-3148-Ghana	118655	54150	48674	2	2	2
GSF856-Dugas-36-3149-Ghana	110589	52052	47264	15	15	15
GSF856-Dugas-37-3150-Ghana	148697	65249	61724	2	2	2
GSF856-Dugas-38-3166-Ghana	103223	48115	45362	3	3	3
GSF856-Dugas-39-3168-Ghana	113305	55588	51324	0	0	0
GSF856-Dugas-40-3169-Ghana	113559	53060	48415	19	19	19
GSF856-Dugas-41-3183-Ghana	115850	54736	50526	9	9	9
GSF856-Dugas-42-3199-Ghana	112759	53213	46913	5	5	5
GSF856-Dugas-4-3002-Ghana	124726	58725	54287	14	14	13
GSF856-Dugas-43-3205-Ghana	106858	48770	43990	0	0	0
GSF856-Dugas-44-3211-Ghana	97671	45632	42332	2	2	2
GSF856-Dugas-45-3225-Ghana	120432	56258	51541	21	21	21
GSF856-Dugas-46-3235-Ghana	98343	46959	46220	0	0	0
GSF856-Dugas-47-3257-Ghana	99935	43005	40156	4	4	4
GSF856-Dugas-48-3281-Ghana	126609	59249	55775	0	0	0
GSF856-Dugas-50-3316-Ghana	106182	52714	49691	5	5	4
GSF856-Dugas-51-3119-Ghana	107312	50428	46947	1	1	1
GSF856-Dugas-5-1398-USA	509	221	100	0	0	0
GSF856-Dugas-52-3136-Ghana	120152	55991	52205	8	8	8
GSF856-Dugas-53-3176-Ghana	121754	56985	53415	20	20	18
GSF856-Dugas-54-3214-Ghana	136200	63939	60635	3	3	3
GSF856-Dugas-55-3295-Ghana	117250	55094	49915	5	5	5
GSF856-Dugas-56-3320-Ghana	126446	59017	54456	0	0	0
GSF856-Dugas-57-3324-Ghana	113704	52239	47953	2	2	2
GSF856-Dugas-58-3331-Ghana	95150	43743	41747	0	0	0
GSF856-Dugas-59-3361-Ghana	126195	60248	55822	0	0	0
GSF856-Dugas-60-3471-Ghana	106081	52764	50725	0	0	0
GSF856-Dugas-61-1027-USA	99752	46845	45107	2	2	2
GSF856-Dugas-6-1399-USA	119819	56555	52675	1	1	1
GSF856-Dugas-62-1025-USA	120743	58469	55923	0	0	0
GSF856-Dugas-63-1061-USA	94944	43507	41450	0	0	0
GSF856-Dugas-64-1090-USA	107467	52446	49722	10	10	10
GSF856-Dugas-65-1072-USA	100192	47758	45667	1	1	1
GSF856-Dugas-66-3338-Ghana	119122	55978	53102	0	0	0
GSF856-Dugas-67-3349-Ghana	114928	52593	48891	0	0	0
GSF856-Dugas-68-3351-Ghana	116077	53678	48500	0	0	0
GSF856-Dugas-69-3358-Ghana	123308	57623	53088	3	3	3
GSF856-Dugas-70-3362-Ghana	125676	58467	52996	8	8	8
GSF856-Dugas-71-3372-Ghana	243534	109476	102872	16	16	15
GSF856-Dugas-7-1436-USA	111043	50266	48334	0	0	0
GSF856-Dugas-72-3439-Ghana	109988	48911	46257	0	0	0
GSF856-Dugas-73-3444-Ghana	94818	43885	40110	19	19	19
GSF856-Dugas-74-3458-Ghana	114231	51759	48694	0	0	0
GSF856-Dugas-75-1299-USA	94966	44250	41370	0	0	0
GSF856-Dugas-76-1051-USA	116653	35851	35589	761	761	759
GSF856-Dugas-77-1060-USA	104218	48163	46030	0	0	0
GSF856-Dugas-78-1089-USA	118159	53950	51127	0	0	0
GSF856-Dugas-79-1093-USA	95326	45084	43542	5	5	5
GSF856-Dugas-80-1094-USA	131754	58302	56116	2	2	2
GSF856-Dugas-81-1096-USA	109086	49799	47387	30	30	30
GSF856-Dugas-8-1443-USA	119038	55541	53651	0	0	0
GSF856-Dugas-82-1110-USA	105554	50461	48112	1	1	1
GSF856-Dugas-83-1112-USA	94041	44514	41296	2	2	2
GSF856-Dugas-84-1126-USA	770	338	99	0	0	0
GSF856-Dugas-85-1128-USA	97354	42685	41110	7	7	7
GSF856-Dugas-86-1132-USA	91663	41402	39727	1	1	1
GSF856-Dugas-87-1154-USA	112767	51512	48717	0	0	0
GSF856-Dugas-88-1155-USA	86459	41332	39681	0	0	0
GSF856-Dugas-89-1161-USA	90190	43437	41673	0	0	0
GSF856-Dugas-90-1212-USA	93976	43698	41407	1	1	1
GSF856-Dugas-91-1214-USA	82481	39144	36529	0	0	0
GSF856-Dugas-9-1448-USA	110059	49540	48577	2	2	2
GSF856-Dugas-92-1221-USA	79894	36336	34760	0	0	0
GSF856-Dugas-94-1254-USA	61794	29145	28044	1	1	1
GSF856-Dugas-95-1268-USA	130477	60595	58254	2	2	2
GSF856-Dugas-96-1249-USA	125857	58763	55007	19	19	18
GSF856-Dugas-96-1272-USA	92800	44315	41672	0	0	0
GSF856-Dugas-97-1274-USA	95611	45192	43483	1	1	1
GSF856-Dugas-98-1276-USA	118549	57662	55312	0	0	0
GSF856-Dugas-99-1297-USA	91000	41833	39696	2	2	2
