input	filtered	denoised	merged	tabled	nonchim
GSF856-Dugas-100-1191-USA	118463	53854	52304	52026	52026	27669
GSF856-Dugas-101-QH2O	135687	29101	28980	28948	28948	28331
GSF856-Dugas-10-3050-Ghana	110188	51819	48688	48393	48393	25363
GSF856-Dugas-11-3061-Ghana	123699	58406	56378	56085	56085	31655
GSF856-Dugas-12-3093-Ghana	129788	60486	58575	58122	58122	35665
GSF856-Dugas-1-3038-Ghana	116591	53017	51314	50952	50952	22802
GSF856-Dugas-13-1361-USA	105376	49470	46680	46342	46342	24923
GSF856-Dugas-14-1347-USA	113341	54000	51416	51034	51034	28268
GSF856-Dugas-15-1344-USA	98318	45457	41789	41461	41461	20543
GSF856-Dugas-16-1339-USA	104554	47876	44452	43957	43957	18852
GSF856-Dugas-17-1335-USA	65778	21459	20102	19842	19842	9440
GSF856-Dugas-18-1327-USA	116095	53982	51073	50761	50761	23159
GSF856-Dugas-19-1302-USA	102239	47843	46775	46453	46453	31223
GSF856-Dugas-20-1431-USA	90803	42446	41455	41310	41310	28802
GSF856-Dugas-21-1430-USA	108398	50594	49184	48936	48936	27769
GSF856-Dugas-22-1420-USA	105515	48249	45569	45159	45159	25359
GSF856-Dugas-2-3045-Ghana	116838	53109	49873	49510	49510	26541
GSF856-Dugas-23-1393-USA	106549	50016	47999	47635	47635	27006
GSF856-Dugas-24-1368-USA	133184	62099	59726	59389	59389	29961
GSF856-Dugas-25-1380-USA	95922	45258	42266	41846	41846	22131
GSF856-Dugas-26-3020-Ghana	109498	50569	47083	46486	46486	26435
GSF856-Dugas-27-3039-Ghana	115249	52272	49932	49584	49584	29984
GSF856-Dugas-28-3055-Ghana	90803	41142	35977	35355	35355	19643
GSF856-Dugas-29-3082-Ghana	121544	55622	50528	49996	49996	26293
GSF856-Dugas-30-3094-Ghana	133000	62671	60394	60172	60172	37546
GSF856-Dugas-31-3098-Ghana	121720	57645	52807	52243	52243	28921
GSF856-Dugas-3-1501-Ghana	99301	47232	45720	45446	45446	26945
GSF856-Dugas-32-3108-Ghana	122047	58109	56040	55578	55578	29494
GSF856-Dugas-33-3112-Ghana	108159	49611	47230	46890	46890	24225
GSF856-Dugas-34-3115-Ghana	131800	60238	55413	54933	54933	29627
GSF856-Dugas-35-3148-Ghana	118655	54150	48674	48062	48062	25779
GSF856-Dugas-36-3149-Ghana	110589	52052	47264	46623	46623	25682
GSF856-Dugas-37-3150-Ghana	148697	65249	61724	61274	61274	31338
GSF856-Dugas-38-3166-Ghana	103223	48115	45362	45015	45015	26654
GSF856-Dugas-39-3168-Ghana	113305	55588	51324	50840	50840	28277
GSF856-Dugas-40-3169-Ghana	113559	53060	48415	47813	47813	27297
GSF856-Dugas-41-3183-Ghana	115850	54736	50526	49977	49977	28512
GSF856-Dugas-42-3199-Ghana	112759	53213	46913	46484	46484	25558
GSF856-Dugas-4-3002-Ghana	124726	58725	54287	53738	53738	29200
GSF856-Dugas-43-3205-Ghana	106858	48770	43990	43329	43329	22614
GSF856-Dugas-44-3211-Ghana	97671	45632	42332	41932	41932	25025
GSF856-Dugas-45-3225-Ghana	120432	56258	51541	51120	51120	27689
GSF856-Dugas-46-3235-Ghana	98343	46959	46220	45964	45964	33419
