GSF856-Dugas-100-1191-USA	GSF856-Dugas-101-QH2O	GSF856-Dugas-10-3050-Ghana	GSF856-Dugas-11-3061-Ghana	GSF856-Dugas-12-3093-Ghana	GSF856-Dugas-1-3038-Ghana	GSF856-Dugas-13-1361-USA	GSF856-Dugas-14-1347-USA	GSF856-Dugas-15-1344-USA	GSF856-Dugas-16-1339-USA	GSF856-Dugas-17-1335-USA	GSF856-Dugas-18-1327-USA	GSF856-Dugas-19-1302-USA	GSF856-Dugas-20-1431-USA	GSF856-Dugas-21-1430-USA	GSF856-Dugas-22-1420-USA	GSF856-Dugas-2-3045-Ghana	GSF856-Dugas-23-1393-USA	GSF856-Dugas-24-1368-USA	GSF856-Dugas-25-1380-USA	GSF856-Dugas-26-3020-Ghana	GSF856-Dugas-27-3039-Ghana	GSF856-Dugas-28-3055-Ghana	GSF856-Dugas-29-3082-Ghana	GSF856-Dugas-30-3094-Ghana	GSF856-Dugas-31-3098-Ghana	GSF856-Dugas-3-1501-Ghana	GSF856-Dugas-32-3108-Ghana	GSF856-Dugas-33-3112-Ghana	GSF856-Dugas-34-3115-Ghana	GSF856-Dugas-35-3148-Ghana	GSF856-Dugas-36-3149-Ghana	GSF856-Dugas-37-3150-Ghana	GSF856-Dugas-38-3166-Ghana	GSF856-Dugas-39-3168-Ghana	GSF856-Dugas-40-3169-Ghana	GSF856-Dugas-41-3183-Ghana	GSF856-Dugas-42-3199-Ghana	GSF856-Dugas-4-3002-Ghana	GSF856-Dugas-43-3205-Ghana	GSF856-Dugas-44-3211-Ghana	GSF856-Dugas-45-3225-Ghana	GSF856-Dugas-46-3235-Ghana	GSF856-Dugas-47-3257-Ghana	GSF856-Dugas-48-3281-Ghana	GSF856-Dugas-50-3316-Ghana	GSF856-Dugas-51-3119-Ghana	GSF856-Dugas-5-1398-USA	GSF856-Dugas-52-3136-Ghana	GSF856-Dugas-53-3176-Ghana	GSF856-Dugas-54-3214-Ghana	GSF856-Dugas-55-3295-Ghana	GSF856-Dugas-56-3320-Ghana	GSF856-Dugas-57-3324-Ghana	GSF856-Dugas-58-3331-Ghana	GSF856-Dugas-59-3361-Ghana	GSF856-Dugas-60-3471-Ghana	GSF856-Dugas-61-1027-USA	GSF856-Dugas-6-1399-USA	GSF856-Dugas-62-1025-USA	GSF856-Dugas-63-1061-USA	GSF856-Dugas-64-1090-USA	GSF856-Dugas-65-1072-USA	GSF856-Dugas-66-3338-Ghana	GSF856-Dugas-67-3349-Ghana	GSF856-Dugas-68-3351-Ghana	GSF856-Dugas-69-3358-Ghana	GSF856-Dugas-70-3362-Ghana	GSF856-Dugas-71-3372-Ghana	GSF856-Dugas-7-1436-USA	GSF856-Dugas-72-3439-Ghana	GSF856-Dugas-73-3444-Ghana	GSF856-Dugas-74-3458-Ghana	GSF856-Dugas-75-1299-USA	GSF856-Dugas-76-1051-USA	GSF856-Dugas-77-1060-USA	GSF856-Dugas-78-1089-USA	GSF856-Dugas-79-1093-USA	GSF856-Dugas-80-1094-USA	GSF856-Dugas-81-1096-USA	GSF856-Dugas-8-1443-USA	GSF856-Dugas-82-1110-USA	GSF856-Dugas-83-1112-USA	GSF856-Dugas-84-1126-USA	GSF856-Dugas-85-1128-USA	GSF856-Dugas-86-1132-USA	GSF856-Dugas-87-1154-USA	GSF856-Dugas-88-1155-USA	GSF856-Dugas-89-1161-USA	GSF856-Dugas-90-1212-USA	GSF856-Dugas-91-1214-USA	GSF856-Dugas-9-1448-USA	GSF856-Dugas-92-1221-USA	GSF856-Dugas-94-1254-USA	GSF856-Dugas-95-1268-USA	GSF856-Dugas-96-1249-USA	GSF856-Dugas-96-1272-USA	GSF856-Dugas-97-1274-USA	GSF856-Dugas-98-1276-USA	GSF856-Dugas-99-1297-USA
ASV_1	0	646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2	0	0	0	0	0	0	0	0	0	0	80	0	6	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	8	9	0	0	0	0	0	0	61	0	4	5	0	0	13	0	0	0	0	29	0
ASV_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5	0	0	0	0	0	0	0	0	0	9	0	0	0	0	4
ASV_4	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_5	0	24	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	7
ASV_6	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
