input	filtered	denoised	merged	tabled	nonchim
GSF856-Dugas-100-1191-USA	118463	82572	81504	0	0	0
GSF856-Dugas-101-QH2O	135687	45454	45322	752	752	752
GSF856-Dugas-10-3050-Ghana	110188	79036	76598	0	0	0
GSF856-Dugas-11-3061-Ghana	123699	87853	86229	0	0	0
GSF856-Dugas-12-3093-Ghana	129788	92732	91258	0	0	0
GSF856-Dugas-1-3038-Ghana	116591	82971	81579	7	7	7
GSF856-Dugas-13-1361-USA	105376	75473	73642	0	0	0
GSF856-Dugas-14-1347-USA	113341	81348	79539	0	0	0
GSF856-Dugas-15-1344-USA	98318	69416	67001	0	0	0
GSF856-Dugas-16-1339-USA	104554	74471	72015	0	0	0
GSF856-Dugas-17-1335-USA	65778	33310	32286	110	110	110
GSF856-Dugas-18-1327-USA	116095	82754	80682	0	0	0
GSF856-Dugas-19-1302-USA	102239	72477	71559	6	6	6
GSF856-Dugas-20-1431-USA	90803	65070	64286	5	5	5
GSF856-Dugas-21-1430-USA	108398	77562	76216	0	0	0
GSF856-Dugas-22-1420-USA	105515	74464	72692	6	6	6
GSF856-Dugas-2-3045-Ghana	116838	82960	80332	12	12	12
GSF856-Dugas-23-1393-USA	106549	75716	74168	0	0	0
GSF856-Dugas-24-1368-USA	133184	94017	91934	0	0	0
GSF856-Dugas-25-1380-USA	95922	69614	67555	36	36	36
GSF856-Dugas-26-3020-Ghana	109498	78027	75625	5	5	5
GSF856-Dugas-27-3039-Ghana	115249	80489	78671	22	22	22
GSF856-Dugas-28-3055-Ghana	90803	64286	60228	8	8	8
GSF856-Dugas-29-3082-Ghana	121544	86069	82654	0	0	0
GSF856-Dugas-30-3094-Ghana	133000	95649	94022	0	0	0
GSF856-Dugas-31-3098-Ghana	121720	88098	84602	0	0	0
GSF856-Dugas-3-1501-Ghana	99301	71757	70565	0	0	0
GSF856-Dugas-32-3108-Ghana	122047	88197	86473	0	0	0
GSF856-Dugas-33-3112-Ghana	108159	76088	74086	0	0	0
GSF856-Dugas-34-3115-Ghana	131800	92763	89481	0	0	0
GSF856-Dugas-35-3148-Ghana	118655	83013	79264	0	0	0
GSF856-Dugas-36-3149-Ghana	110589	78988	75418	29	29	29
GSF856-Dugas-37-3150-Ghana	148697	103202	100727	16	16	16
GSF856-Dugas-38-3166-Ghana	103223	73966	72109	0	0	0
GSF856-Dugas-39-3168-Ghana	113305	84825	81751	0	0	0
GSF856-Dugas-40-3169-Ghana	113559	81844	78417	0	0	0
GSF856-Dugas-41-3183-Ghana	115850	83805	80771	3	3	3
GSF856-Dugas-42-3199-Ghana	112759	81701	77875	0	0	0
GSF856-Dugas-4-3002-Ghana	124726	89280	86255	3	3	3
GSF856-Dugas-43-3205-Ghana	106858	75960	72556	2	2	2
GSF856-Dugas-44-3211-Ghana	97671	70957	68414	9	9	9
GSF856-Dugas-45-3225-Ghana	120432	87213	84419	0	0	0
GSF856-Dugas-46-3235-Ghana	98343	68528	67909	0	0	0
GSF856-Dugas-47-3257-Ghana	99935	69096	67045	0	0	0
GSF856-Dugas-48-3281-Ghana	126609	90045	87686	0	0	0
GSF856-Dugas-50-3316-Ghana	106182	78805	76761	0	0	0
GSF856-Dugas-51-3119-Ghana	107312	77396	74919	0	0	0
GSF856-Dugas-5-1398-USA	509	322	211	0	0	0
GSF856-Dugas-52-3136-Ghana	120152	85871	83353	0	0	0
GSF856-Dugas-53-3176-Ghana	121754	86858	83902	0	0	0
GSF856-Dugas-54-3214-Ghana	136200	97931	95529	2	2	2
GSF856-Dugas-55-3295-Ghana	117250	84244	80197	0	0	0
GSF856-Dugas-56-3320-Ghana	126446	90171	87052	0	0	0
GSF856-Dugas-57-3324-Ghana	113704	80373	77265	4	4	4
GSF856-Dugas-58-3331-Ghana	95150	67487	66028	0	0	0
GSF856-Dugas-59-3361-Ghana	126195	91443	88519	0	0	0
GSF856-Dugas-60-3471-Ghana	106081	78828	77105	0	0	0
GSF856-Dugas-61-1027-USA	99752	71137	69916	15	15	15
GSF856-Dugas-6-1399-USA	119819	85453	82859	0	0	0
GSF856-Dugas-62-1025-USA	120743	88320	86454	0	0	0
GSF856-Dugas-63-1061-USA	94944	66919	65353	48	48	48
GSF856-Dugas-64-1090-USA	107467	78671	76734	0	0	0
GSF856-Dugas-65-1072-USA	100192	71530	70015	0	0	0
GSF856-Dugas-66-3338-Ghana	119122	85906	83498	0	0	0
GSF856-Dugas-67-3349-Ghana	114928	80872	78122	0	0	0
GSF856-Dugas-68-3351-Ghana	116077	83105	79162	10	10	10
GSF856-Dugas-69-3358-Ghana	123308	87619	83944	0	0	0
GSF856-Dugas-70-3362-Ghana	125676	88893	85118	3	3	3
GSF856-Dugas-71-3372-Ghana	243534	174206	169671	0	0	0
GSF856-Dugas-7-1436-USA	111043	77911	76596	0	0	0
GSF856-Dugas-72-3439-Ghana	109988	75526	73576	0	0	0
GSF856-Dugas-73-3444-Ghana	94818	67146	64860	3	3	3
GSF856-Dugas-74-3458-Ghana	114231	80942	78775	0	0	0
GSF856-Dugas-75-1299-USA	94966	67068	65099	0	0	0
GSF856-Dugas-76-1051-USA	116653	55799	55164	11	11	11
GSF856-Dugas-77-1060-USA	104218	73109	71609	15	15	15
GSF856-Dugas-78-1089-USA	118159	82690	80441	16	16	16
GSF856-Dugas-79-1093-USA	95326	68713	67438	0	0	0
GSF856-Dugas-80-1094-USA	131754	91973	90510	6	6	6
GSF856-Dugas-81-1096-USA	109086	74356	72588	8	8	8
GSF856-Dugas-8-1443-USA	119038	85630	84336	9	9	9
GSF856-Dugas-82-1110-USA	105554	75811	74046	2	2	2
GSF856-Dugas-83-1112-USA	94041	67228	65366	8	8	8
GSF856-Dugas-84-1126-USA	770	559	373	0	0	0
GSF856-Dugas-85-1128-USA	97354	65351	64137	5	5	5
GSF856-Dugas-86-1132-USA	91663	64219	62996	0	0	0
GSF856-Dugas-87-1154-USA	112767	79633	77637	0	0	0
GSF856-Dugas-88-1155-USA	86459	63366	62227	61	61	61
GSF856-Dugas-89-1161-USA	90190	64718	63387	0	0	0
GSF856-Dugas-90-1212-USA	93976	66585	65074	4	4	4
GSF856-Dugas-91-1214-USA	82481	58989	57092	5	5	5
GSF856-Dugas-9-1448-USA	110059	75510	74769	10	10	10
GSF856-Dugas-92-1221-USA	79894	56191	54769	0	0	0
GSF856-Dugas-94-1254-USA	61794	44310	43563	21	21	21
GSF856-Dugas-95-1268-USA	130477	92163	90360	9	9	9
GSF856-Dugas-96-1249-USA	125857	90182	87606	0	0	0
GSF856-Dugas-96-1272-USA	92800	67767	65736	0	0	0
GSF856-Dugas-97-1274-USA	95611	68944	67625	7	7	7
GSF856-Dugas-98-1276-USA	118549	86977	85402	36	36	36
GSF856-Dugas-99-1297-USA	91000	65257	63811	34	34	34
